MaterialTicker,ExchangeCode,MMBuy,MMSell,PriceAverage,AskCount,Ask,Supply,BidCount,Bid,Demand,FullTicker,OpenYesterday,CloseYesterday,HighYesterday,LowYesterday,TradedYesterday,TWAP7D,VWAP7D,Traded7D,AverageTraded7D,TWAP30D,VWAP30D,Traded30D,AverageTraded30D
"AAR","AI1","","",20000,24,20000,347,66,18000,318,"AAR.AI1","","","","","",19125,18766.67,15,2.14,17017.86,16577.54,325,10.83
"AAR","CI1","","",19900,39,19900,52,"","",0,"AAR.CI1","","","","","","","","","",17322.22,17202.64,227,7.57
"AAR","CI2","","",20000,"","",0,"","",0,"AAR.CI2","","","","","","","","","","","","",""
"AAR","IC1","","",17894.98,6,18400,6,1,17000,5,"AAR.IC1","","","","","",17825,17830,10,1.43,17846.15,17858.7,46,1.53
"AAR","NC1","","",17144.33,74,17900,882,98,16000,244,"AAR.NC1","","","","","","","","","",17440.63,17421.62,74,2.47
"AAR","NC2","","",6777.08,3,16200,3,"","",0,"AAR.NC2","","","","","","","","","","","","",""
"ABH","AI1","","",53900,10,54000,1492,100,50400,1342,"ABH.AI1",54700,54700,54700,54700,2,55446.43,54162.83,799,114.14,55195.37,55102.31,4104,136.8
"ABH","CI1","","",57201.3,20,57000,502,94,51100,221,"ABH.CI1",57800,51100,57900,51100,20,56650,57406.13,555,79.29,55130.56,55696.41,2951,98.37
"ABH","CI2","","",53000,10,55000,10,"","",0,"ABH.CI2","","","","","","","","","",53000,53000,79,2.63
"ABH","IC1","","",54500,45,54500,818,250,52100,730,"ABH.IC1",54800,52100,54800,52100,112,54220,53836.77,291,41.57,56100,56281.06,2202,73.4
"ABH","NC1","","",50900,7,50900,1654,300,50000,1322,"ABH.NC1",51600,50900,51600,50900,151,51562.5,51637.63,954,136.29,51824.14,51314.05,4490,149.67
"ABH","NC2","","",24111.88,27,65000,27,"","",0,"ABH.NC2","","","","","","","","","","","","",""
"ACS","AI1","","",150000,58,159000,72,10,140000,10,"ACS.AI1",150000,150000,150000,150000,2,150000,150000,16,2.29,151000,152058.82,34,1.13
"ACS","CI1","","",161286.16,1,164000,30,6,160000,38,"ACS.CI1","","","","","",161666.67,160666.67,15,2.14,159166.67,157941.18,34,1.13
"ACS","CI2","","",74706.55,"","",0,"","",0,"ACS.CI2","","","","","","","","","","","","",""
"ACS","IC1","","",159000,18,159000,20,1,151000,5,"ACS.IC1","","","","","","","","","",159000,159000,1,0.03
"ACS","NC1","","",169000,8,159000,45,10,150000,10,"ACS.NC1","","","","","","","","","",176750,188076.92,13,0.43
"ACS","NC2","","",124000,"","",0,"","",0,"ACS.NC2","","","","","","","","","","","","",""
"ADE","AI1","","",64100,10,64200,138,20,47000,1434,"ADE.AI1",64300,64300,64300,64300,2,60150,59239.62,901,128.71,54393.97,52625.41,3377,112.57
"ADE","CI1","","",56509.51,32,70000,315,2,42500,107,"ADE.CI1",68000,42500,68000,42500,38,61010,54958.01,793,113.29,46990.38,47562.59,2932,97.73
"ADE","CI2","","",43000,4,47000,4,"","",0,"ADE.CI2","","","","","","","","","",43000,43000,2,0.07
"ADE","IC1","","",61600,23,61600,535,6,42000,1002,"ADE.IC1",61400,61600,61600,61400,90,61612.5,60697.47,513,73.29,53326,51513.99,2016,67.2
"ADE","NC1","","",52901.34,40,61900,457,80,46000,506,"ADE.NC1",59900,45500,60000,45500,142,53007.14,53882.62,1007,143.86,46406.03,46445.76,4207,140.23
"ADE","NC2","","",21239.53,26,60000,26,"","",0,"ADE.NC2","","","","","","","","","","","","",""
"ADR","AI1",70000,"",71300,5,125000,55,46,71300,166,"ADR.AI1","","","","","",71300,71300,4,0.57,71300,71300,6,0.2
"ADR","CI1",70000,"",107055.93,20,110000,114,50,85000,150,"ADR.CI1",110000,110000,110000,110000,1,107500,106666.67,3,0.43,105400,102555.56,45,1.5
"ADR","CI2","","",60000,"","",0,"","",0,"ADR.CI2","","","","","","","","","","","","",""
"ADR","IC1",70000,"",82500.01,1,125000,11,50,72200,180,"ADR.IC1","","","","","",82500,82500,2,0.29,82500,82500,2,0.07
"ADR","NC1",70000,"",70069.2,4,99000,73,1,71000,111,"ADR.NC1","","","","","",70075,70075.76,66,9.43,85765,76708.86,158,5.27
"ADR","NC2","","",29140.78,"","",0,"","",0,"ADR.NC2","","","","","","","","","","","","",""
"ADS","AI1","","",130318.83,5,132000,123,2,116000,17,"ADS.AI1","","","","","",130250,130205.88,34,4.86,130272.73,130464.91,114,3.8
"ADS","CI1","","",141338.34,2,125000,6,10,104000,23,"ADS.CI1","","","","","",150000,140000,5,0.71,145000,142157.89,19,0.63
"ADS","CI2","","",250000,"","",0,"","",0,"ADS.CI2","","","","","","","","","","","","",""
"ADS","IC1","","",165000,72,165000,103,3,125000,24,"ADS.IC1","","","","","",165000,165000,10,1.43,158406.25,157507.46,67,2.23
